lat,lon,jobs
53.40733204,-2.15456368,204
53.40600769,-2.15848443,3235
53.40980291,-2.15181467,348
53.40461703,-2.15791841,451
53.40371307,-2.16063404,488
53.39544584,-2.18467161,673
53.39476301,-2.21624362,205
53.39440456,-2.21321231,354
53.39729549,-2.21581864,1213
53.39314709,-2.21775811,309
53.39197171,-2.23633249,378
53.39315572,-2.21692084,271
53.39710276,-2.20335086,1364
53.39481065,-2.18585726,730
53.37697340,-2.18916632,545
53.37558383,-2.21497973,1437
53.37723671,-2.19010780,443
53.39195413,-2.18630590,772
53.39349077,-2.18608927,277
53.35773131,-2.20372080,229
53.35542577,-2.20264633,784
53.37502105,-2.18685348,300
53.37445468,-2.18841278,392
53.37449286,-2.18625775,245
53.38382156,-2.13201710,4094
53.37828275,-2.14113456,1385
53.40694077,-2.16090380,376
53.40544939,-2.15913158,588
53.40379033,-2.16394441,368
53.40757413,-2.16808851,388
53.40804922,-2.16239732,707
53.40817149,-2.17234095,310
53.40785018,-2.16560695,975
53.38356692,-2.12588711,493
53.38226842,-2.12424711,220
53.38003708,-2.12106639,263
53.37867328,-2.13235108,217
53.37878864,-2.12962550,769
53.37497142,-2.22148495,494
53.38040140,-2.22062563,538
53.37748875,-2.22220592,528
53.38075031,-2.22375825,570
53.37843330,-2.21933943,258
53.37608002,-2.22583109,442
53.40794646,-2.20603276,361
53.40681655,-2.20266332,727
53.41109233,-2.17173009,718
53.40945252,-2.17954517,268
53.41195523,-2.17558771,464
53.41075444,-2.17422074,218
53.40807806,-2.17545439,1321
53.43414141,-2.18849462,557
53.43491412,-2.18471187,1067
53.42348331,-2.18413749,329
53.40831960,-2.15128924,791
53.40037037,-2.15477668,546
53.39979024,-2.15114327,437
53.39813695,-2.05720403,293
53.39577901,-2.06274191,435
