code,name,easting,northing,latitude,longitude
E01005044,Bury 026E,382345,402506,53.51893,-2.26774
E01005045,Bury 023E,381897,403641,53.52911,-2.27456
E01005042,Bury 026C,382241,402946,53.52287,-2.26933
E01005043,Bury 026D,382660,402717,53.52083,-2.263
E01005040,Bury 026A,383351,403329,53.52635,-2.25262
E01005041,Bury 026B,383048,402967,53.5231,-2.25717
E01033330,Salford 022K,383135,399239,53.48959,-2.25565
E01005332,Oldham 028A,390286,404104,53.5335,-2.14803
E01005256,Manchester 011A,387799,400578,53.50176,-2.1854
E01005255,Manchester 012D,388279,399751,53.49433,-2.17814
E01005252,Manchester 003E,388118,402826,53.52197,-2.18069
E01005250,Manchester 005D,388502,402521,53.51923,-2.17489
E01005251,Manchester 003D,388620,403007,53.5236,-2.17312
E01005258,Manchester 011C,388590,400415,53.5003,-2.17348
E01005259,Manchester 011D,388366,400192,53.49829,-2.17685
E01004974,Bury 024A,381697,404290,53.53494,-2.27762
E01004975,Bury 023C,382133,403969,53.53207,-2.27102
E01004972,Bury 023A,381837,404732,53.53892,-2.27553
E01004973,Bury 023B,382143,404382,53.53578,-2.2709
E01004970,Bury 022B,382127,405138,53.54257,-2.27117
E01004971,Bury 022C,381636,405034,53.54162,-2.27858
E01005161,Manchester 004C,384377,402781,53.52146,-2.2371
E01005246,Manchester 024D,384057,395415,53.45525,-2.24155
E01005244,Manchester 025C,384648,395560,53.45657,-2.23267
E01005245,Manchester 024C,383734,395591,53.45682,-2.24644
E01005248,Manchester 005B,388516,401816,53.5129,-2.17465
E01005249,Manchester 005C,388124,401740,53.51221,-2.18055
E01005263,Manchester 046A,383356,389672,53.4036,-2.2518
E01005261,Manchester 012E,387981,399984,53.49642,-2.18265
E01005550,Rochdale 025G,387338,404835,53.54001,-2.19253
E01032911,Salford 022J,383418,398980,53.48727,-2.25137
E01032919,Salford 017F,381915,400060,53.49693,-2.27408
E01033656,Manchester 057B,383941,397221,53.47148,-2.2434
E01033657,Manchester 022G,385671,395980,53.46037,-2.21727
E01033654,Manchester 055C,384738,397722,53.47601,-2.23142
E01033655,Manchester 056B,384170,399377,53.49086,-2.24006
E01033652,Manchester 022F,385535,396111,53.46154,-2.21933
E01033653,Manchester 055B,384366,397912,53.4777,-2.23702
E01033651,Manchester 054B,384600,398986,53.48736,-2.23355
E01033658,Manchester 054C,384122,398641,53.48425,-2.24075
E01033659,Manchester 055D,384771,398504,53.48303,-2.23096
E01005656,Salford 023B,380253,398747,53.48507,-2.29906
E01005657,Salford 023C,380491,399053,53.48782,-2.29549
E01005654,Salford 023A,380610,398728,53.48491,-2.29368
E01005655,Salford 024A,380947,398852,53.48603,-2.28861
E01005652,Salford 011C,381220,401534,53.51015,-2.28464
E01005653,Salford 011D,381561,400945,53.50487,-2.27947
E01005650,Salford 010C,382771,401351,53.50856,-2.26125
E01005651,Salford 010D,383439,401662,53.51137,-2.25119
E01005658,Salford 024B,381144,398434,53.48228,-2.28561
E01005146,Manchester 008B,384826,401095,53.50632,-2.23026
E01005147,Manchester 058B,384034,400593,53.50178,-2.24217
E01005145,Manchester 008A,384266,401217,53.5074,-2.2387
E01005142,Manchester 058A,383840,401305,53.50818,-2.24513
E01005143,Manchester 056A,384364,400757,53.50327,-2.2372
E01005140,Manchester 002E,385548,402772,53.52142,-2.21944
E01005141,Manchester 003C,387221,402932,53.5229,-2.19422
E01005149,Manchester 008C,384239,401533,53.51024,-2.23913
E01005036,Bury 024C,381350,403859,53.53105,-2.28282
E01005037,Bury 024D,380906,403220,53.52529,-2.28949
E01005034,Bury 022D,381199,404514,53.53693,-2.28514
E01005035,Bury 025C,380841,403818,53.53066,-2.2905
E01005032,Bury 025B,381061,402224,53.51635,-2.28708
E01005033,Bury 024B,381765,402701,53.52066,-2.27649
E01005031,Bury 025A,380750,402820,53.52169,-2.29182
E01005038,Bury 025D,381155,402811,53.52163,-2.2857
E01005039,Bury 023D,382177,403502,53.52787,-2.27033
E01005535,Rochdale 023B,388379,405124,53.54263,-2.17683
E01005532,Rochdale 025C,387933,404689,53.53871,-2.18355
E01005530,Rochdale 025A,387513,405120,53.54257,-2.1899
E01005531,Rochdale 025B,388017,404318,53.53538,-2.18227
E01005722,Salford 021E,379343,399001,53.48731,-2.31278
E01005723,Salford 021F,380076,398500,53.48284,-2.3017
E01005720,Salford 021D,379665,398694,53.48456,-2.30791
E01005721,Salford 023D,380234,399293,53.48998,-2.29938
E01004985,Bury 019B,379415,405113,53.54225,-2.31209
E01004984,Bury 019A,379788,405239,53.5434,-2.30649
E01004983,Bury 020A,380822,404955,53.54088,-2.29086
E01005646,Salford 010A,383377,401969,53.51413,-2.25215
E01005647,Salford 011A,382354,402144,53.51567,-2.26759
E01005648,Salford 011B,381677,401784,53.51241,-2.27778
E01005649,Salford 010B,382798,401994,53.51434,-2.26088
E01005630,Salford 021B,378999,399623,53.49289,-2.31801
E01005128,Manchester 055A,384412,397533,53.47429,-2.23632
E01005129,Manchester 013B,385725,399396,53.49107,-2.21662
E01005097,Manchester 012C,388282,399030,53.48785,-2.17807
E01005094,Manchester 012B,388662,398459,53.48273,-2.17232
E01005093,Manchester 012A,388446,398762,53.48544,-2.17559
E01005092,Manchester 015A,387961,398749,53.48532,-2.1829
E01005099,Manchester 001B,385920,404339,53.53551,-2.2139
E01005226,Manchester 007D,387217,401758,53.51234,-2.19423
E01005227,Manchester 009D,386556,401411,53.50921,-2.20419
E01005224,Manchester 007B,386825,401605,53.51096,-2.20014
E01005225,Manchester 007C,387434,401454,53.50962,-2.19095
E01005223,Manchester 007A,386780,402126,53.51564,-2.20083
E01005228,Manchester 009E,387323,401081,53.50626,-2.19261
E01005229,Manchester 007E,387361,402279,53.51703,-2.19208
E01005614,Salford 016E,383168,401203,53.50725,-2.25526
E01005615,Salford 016F,382601,400784,53.50346,-2.26378
E01005612,Salford 016C,383000,400813,53.50373,-2.25777
E01005613,Salford 016D,383493,401068,53.50604,-2.25035
E01005610,Salford 022D,382379,399514,53.49203,-2.26705
E01005611,Salford 016B,382436,400237,53.49853,-2.26624
E01005699,Salford 015C,379267,401134,53.50648,-2.31408
E01005106,Manchester 015D,387491,397723,53.47608,-2.18993
E01005107,Manchester 015E,388345,397842,53.47717,-2.17707
E01005186,Manchester 020B,387808,396608,53.46607,-2.18512
E01005104,Manchester 004A,384514,403319,53.5263,-2.23507
E01005105,Manchester 015C,386574,397751,53.47631,-2.20376
E01005102,Manchester 001D,384411,404215,53.53435,-2.23667
E01005103,Manchester 001E,384930,403801,53.53065,-2.22882
E01005100,Manchester 001C,385320,404282,53.53498,-2.22296
E01005181,Manchester 030D,383318,393976,53.44229,-2.2526
E01005101,Manchester 002A,385656,403865,53.53124,-2.21786
E01005189,Manchester 017D,388532,396433,53.46451,-2.1742
E01005066,Manchester 018E,384531,397155,53.47089,-2.23451
E01005067,Manchester 020A,387072,396757,53.46739,-2.19621
E01005065,Manchester 018D,385151,396990,53.46944,-2.22516
E01005062,Manchester 018B,385190,396554,53.46552,-2.22455
E01005063,Manchester 018C,385804,396393,53.46409,-2.21529
E01005061,Manchester 018A,386343,396902,53.46868,-2.20719
E01005206,Manchester 006C,385624,402215,53.51641,-2.21827
E01005207,Manchester 006D,386360,402141,53.51577,-2.20716
E01005205,Manchester 006B,385934,401762,53.51234,-2.21357
E01005284,Manchester 026C,385174,395716,53.45798,-2.22475
E01005203,Manchester 009B,385690,401179,53.5071,-2.21723
E01005201,Manchester 023E,388290,395942,53.46009,-2.17783
E01005208,Manchester 019A,383514,396273,53.46294,-2.24978
E01005209,Manchester 019B,384505,396091,53.46134,-2.23484
E01033667,Manchester 054E,384472,398620,53.48406,-2.23546
E01033664,Manchester 054D,384457,399057,53.488,-2.23571
E01033665,Manchester 056C,384328,399400,53.49108,-2.23768
E01033662,Manchester 057C,384081,397562,53.47454,-2.2413
E01033663,Manchester 013E,385499,398329,53.48148,-2.21998
E01033661,Manchester 055E,385074,398159,53.47993,-2.22637
E01033668,Manchester 015F,387200,398817,53.48591,-2.19437
E01033669,Manchester 015G,386786,398263,53.48092,-2.20058
E01005330,Oldham 015B,389642,404809,53.53982,-2.15776
E01005547,Rochdale 024D,384956,405196,53.54318,-2.2285
